timestamp,gpu_id,utilization_pct,memory_used_mb,memory_total_mb,power_draw_w,sm_clock_mhz,temperature_c
1776341436.5382447,0,0.0,70791.2,81920.0,68.5,1410,38
1776341437.046467,0,0.0,70791.2,81920.0,68.4,1410,38
1776341437.5467043,0,0.0,70791.2,81920.0,68.5,1410,38
1776341438.0469253,0,0.0,70791.2,81920.0,68.5,1410,38
1776341438.5471542,0,0.0,70791.2,81920.0,68.8,1410,38
1776341439.0473785,0,10.0,70795.2,81920.0,68.5,1410,39
1776341439.5475857,0,52.0,70795.2,81920.0,279.8,1410,41
1776341440.0477786,0,100.0,70795.2,81920.0,276.9,1410,42
1776341440.5479662,0,100.0,70795.2,81920.0,276.8,1410,43
1776341441.0481825,0,100.0,70795.2,81920.0,277.6,1410,43
1776341441.5483737,0,100.0,70795.2,81920.0,276.9,1410,44
1776341442.0485613,0,100.0,70795.2,81920.0,275.7,1410,44
1776341442.548724,0,6.0,70795.2,81920.0,70.1,1410,40
1776341443.0489318,0,0.0,70795.2,81920.0,69.7,1410,40
1776341443.5491436,0,0.0,70795.2,81920.0,69.7,1410,40
1776341444.049368,0,0.0,70795.2,81920.0,69.5,1410,40
1776341444.549579,0,0.0,70795.2,81920.0,69.4,1410,39
1776341445.0497797,0,0.0,70795.2,81920.0,69.5,1410,39
1776341445.54999,0,0.0,70795.2,81920.0,69.5,1410,39
1776341446.0501637,0,0.0,70795.2,81920.0,69.5,1410,39
1776341446.5503025,0,100.0,70795.2,81920.0,279.2,1410,43
1776341447.050498,0,100.0,70795.2,81920.0,279.0,1410,44
1776341447.5507069,0,100.0,70795.2,81920.0,281.6,1410,44
1776341448.0509198,0,100.0,70795.2,81920.0,282.4,1410,45
1776341448.551099,0,100.0,70795.2,81920.0,279.3,1410,45
1776341449.0512695,0,100.0,70795.2,81920.0,272.6,1410,45
1776341449.551452,0,100.0,70795.2,81920.0,283.1,1410,45
1776341450.051653,0,100.0,70795.2,81920.0,280.3,1410,46
1776341450.5518262,0,100.0,70795.2,81920.0,280.7,1410,46
1776341451.0519993,0,100.0,70795.2,81920.0,278.4,1410,46
1776341451.5522637,0,100.0,70795.2,81920.0,280.1,1410,46
1776341452.0524201,0,100.0,70795.2,81920.0,283.1,1410,47
1776341452.5525997,0,100.0,70795.2,81920.0,280.5,1410,47
1776341453.0527785,0,100.0,70795.2,81920.0,281.2,1410,47
1776341453.5529802,0,100.0,70795.2,81920.0,281.4,1410,47
1776341454.0531604,0,100.0,70795.2,81920.0,283.5,1410,47
1776341454.5533297,0,100.0,70795.2,81920.0,283.0,1410,48
1776341455.053448,0,96.0,70795.2,81920.0,279.7,1410,48
1776341455.553633,0,100.0,70795.2,81920.0,280.3,1410,48
1776341456.0538375,0,100.0,70795.2,81920.0,280.0,1410,48
1776341456.5540164,0,100.0,70795.2,81920.0,282.9,1410,48
1776341457.0541956,0,100.0,70795.2,81920.0,282.5,1410,49
1776341457.5543702,0,100.0,70795.2,81920.0,283.3,1410,49
1776341458.0545282,0,96.0,70795.2,81920.0,254.2,1410,49
1776341458.5547361,0,100.0,70795.2,81920.0,285.1,1410,49
1776341459.0549476,0,100.0,70795.2,81920.0,284.7,1410,49
1776341459.5551734,0,100.0,70795.2,81920.0,285.3,1410,49
1776341460.0553532,0,100.0,70795.2,81920.0,284.6,1410,50
1776341460.5555584,0,100.0,70795.2,81920.0,283.7,1410,50
1776341461.0557022,0,95.0,70795.2,81920.0,287.5,1410,50
1776341461.5558743,0,100.0,70795.2,81920.0,284.8,1410,50
1776341462.056024,0,100.0,70795.2,81920.0,285.1,1410,50
1776341462.556209,0,100.0,70795.2,81920.0,284.9,1410,50
1776341463.0564058,0,100.0,70795.2,81920.0,285.1,1410,51
1776341463.556579,0,100.0,70795.2,81920.0,285.1,1410,51
