timestamp,gpu_id,utilization_pct,memory_used_mb,memory_total_mb,power_draw_w,sm_clock_mhz,temperature_c
1776349139.9997802,0,0.0,762.4,81920.0,53.4,210,54
1776349140.5086243,0,0.0,762.4,81920.0,53.3,210,54
1776349141.0088139,0,0.0,762.4,81920.0,53.2,210,54
1776349141.5090399,0,0.0,762.4,81920.0,52.9,210,53
1776349142.009185,0,0.0,762.4,81920.0,52.8,210,53
1776349142.5094113,0,0.0,762.4,81920.0,52.8,210,53
1776349143.0096262,0,0.0,762.4,81920.0,52.6,210,53
1776349143.5098548,0,0.0,762.4,81920.0,52.5,210,52
1776349144.0100753,0,0.0,762.6,81920.0,52.4,210,52
1776349144.5111,0,0.0,765.7,81920.0,52.2,210,52
1776349145.0112991,0,0.0,762.6,81920.0,52.2,210,52
1776349145.5115469,0,0.0,762.4,81920.0,52.1,210,52
1776349146.011762,0,0.0,762.4,81920.0,52.0,210,51
1776349146.511978,0,0.0,762.4,81920.0,51.9,210,51
1776349147.012234,0,0.0,762.4,81920.0,51.8,210,51
1776349147.5124502,0,0.0,762.4,81920.0,51.7,210,51
1776349148.0126557,0,0.0,762.4,81920.0,51.6,210,50
1776349148.5128815,0,0.0,762.4,81920.0,51.5,210,50
1776349149.0130987,0,0.0,762.4,81920.0,51.3,210,50
1776349149.5133355,0,0.0,762.4,81920.0,51.2,210,50
1776349150.01355,0,0.0,762.4,81920.0,51.2,210,50
1776349150.5137627,0,0.0,762.4,81920.0,51.5,210,50
1776349151.0139804,0,0.0,762.4,81920.0,51.3,210,49
1776349151.514208,0,0.0,762.4,81920.0,51.3,210,49
1776349152.014427,0,0.0,762.4,81920.0,51.2,210,49
1776349152.5146484,0,0.0,762.4,81920.0,51.0,210,49
1776349153.014882,0,0.0,762.4,81920.0,50.9,210,49
1776349153.5151052,0,0.0,762.4,81920.0,50.8,210,48
1776349154.0153055,0,0.0,762.4,81920.0,50.8,210,48
1776349154.5155308,0,0.0,762.4,81920.0,50.7,210,48
1776349155.0157976,0,0.0,762.4,81920.0,50.6,210,48
1776349155.516117,0,0.0,762.4,81920.0,50.5,210,48
1776349156.0163224,0,0.0,762.4,81920.0,50.4,210,48
1776349156.516537,0,0.0,762.4,81920.0,50.4,210,47
1776349157.0167644,0,0.0,762.4,81920.0,50.3,210,47
1776349157.5169888,0,0.0,762.4,81920.0,50.1,210,47
1776349158.01722,0,0.0,762.4,81920.0,50.1,210,47
1776349158.517458,0,0.0,762.4,81920.0,50.0,210,47
1776349159.0176265,0,0.0,762.4,81920.0,50.0,210,47
1776349159.5177886,0,0.0,762.4,81920.0,49.9,210,46
1776349160.0180528,0,0.0,762.4,81920.0,49.9,210,46
1776349160.518271,0,0.0,762.4,81920.0,49.7,210,46
1776349161.018494,0,0.0,762.4,81920.0,49.7,210,46
1776349161.5187314,0,0.0,762.4,81920.0,49.7,210,46
