timestamp,gpu_id,utilization_pct,memory_used_mb,memory_total_mb,power_draw_w,sm_clock_mhz,temperature_c
1776342959.7815008,0,0.0,70799.2,81920.0,72.8,1410,45
1776342960.288961,0,0.0,70799.2,81920.0,72.7,1410,45
1776342960.7891948,0,0.0,70799.2,81920.0,72.7,1410,45
1776342961.289466,0,0.0,70799.2,81920.0,72.6,1410,45
1776342961.7896824,0,0.0,70799.2,81920.0,72.6,1410,45
1776342962.289851,0,0.0,70803.2,81920.0,72.8,1410,45
1776342962.7900348,0,0.0,70803.2,81920.0,72.6,1410,45
1776342963.290236,0,0.0,70803.2,81920.0,72.9,1410,45
1776342963.7903707,0,0.0,70803.2,81920.0,72.6,1410,45
1776342964.290519,0,100.0,70803.2,81920.0,284.3,1410,48
1776342964.7906969,0,0.0,70803.2,81920.0,72.7,1410,45
1776342965.290825,0,0.0,70803.2,81920.0,72.6,1410,45
1776342965.7910068,0,0.0,70803.2,81920.0,72.5,1410,45
1776342966.2911873,0,0.0,70803.2,81920.0,72.5,1410,45
1776342966.791399,0,0.0,70803.2,81920.0,72.5,1410,45
1776342967.291563,0,0.0,70803.2,81920.0,72.3,1410,45
1776342967.7917738,0,0.0,70803.2,81920.0,72.4,1410,44
1776342968.291953,0,0.0,70803.2,81920.0,275.9,1410,46
1776342968.7922022,0,100.0,70803.2,81920.0,72.7,1410,45
1776342969.2924125,0,100.0,70803.2,81920.0,279.5,1410,49
1776342969.7925978,0,100.0,70803.2,81920.0,283.5,1410,49
1776342970.292802,0,100.0,70803.2,81920.0,282.8,1410,49
1776342970.792986,0,100.0,70803.2,81920.0,280.2,1410,50
1776342971.2931647,0,100.0,70803.2,81920.0,282.6,1410,50
1776342971.7933853,0,100.0,70803.2,81920.0,282.7,1410,50
1776342972.293584,0,100.0,70803.2,81920.0,284.6,1410,50
1776342972.7937748,0,100.0,70803.2,81920.0,285.3,1410,51
1776342973.2939394,0,100.0,70803.2,81920.0,283.0,1410,51
1776342973.7941558,0,100.0,70803.2,81920.0,286.6,1410,51
1776342974.2943587,0,100.0,70803.2,81920.0,286.1,1410,51
1776342974.7946103,0,100.0,70803.2,81920.0,285.1,1410,51
1776342975.2948241,0,100.0,70803.2,81920.0,286.0,1410,51
1776342975.7950413,0,100.0,70803.2,81920.0,282.5,1410,52
1776342976.2952685,0,100.0,70803.2,81920.0,286.8,1410,52
1776342976.7954872,0,100.0,70803.2,81920.0,286.4,1410,52
1776342977.2957106,0,100.0,70803.2,81920.0,286.9,1410,52
1776342977.795938,0,100.0,70803.2,81920.0,240.0,1410,52
1776342978.2961779,0,100.0,70803.2,81920.0,283.6,1410,52
1776342978.7963622,0,100.0,70803.2,81920.0,288.1,1410,53
1776342979.296575,0,100.0,70803.2,81920.0,292.2,1410,53
1776342979.7967913,0,100.0,70803.2,81920.0,285.7,1410,53
1776342980.296992,0,100.0,70803.2,81920.0,283.8,1410,53
1776342980.7971694,0,96.0,70803.2,81920.0,287.8,1410,53
1776342981.297384,0,100.0,70803.2,81920.0,289.5,1410,53
1776342981.7975974,0,100.0,70803.2,81920.0,289.8,1410,53
1776342982.2978153,0,100.0,70803.2,81920.0,284.8,1410,54
1776342982.7980175,0,100.0,70803.2,81920.0,288.3,1410,54
1776342983.2982068,0,100.0,70803.2,81920.0,288.7,1410,54
1776342983.798358,0,100.0,70803.2,81920.0,292.8,1410,54
1776342984.2985356,0,100.0,70803.2,81920.0,289.6,1410,54
1776342984.7987297,0,100.0,70803.2,81920.0,290.6,1410,54
1776342985.2989306,0,100.0,70803.2,81920.0,288.0,1410,54
1776342985.7991266,0,100.0,70803.2,81920.0,291.2,1410,55
1776342986.2993183,0,100.0,70803.2,81920.0,286.8,1410,55
1776342986.7994754,0,96.0,70803.2,81920.0,294.7,1410,55
1776342987.2996318,0,100.0,70803.2,81920.0,291.2,1410,55
1776342987.7998323,0,100.0,70803.2,81920.0,286.4,1410,55
1776342988.300007,0,100.0,70803.2,81920.0,286.4,1410,55
1776342988.8002408,0,100.0,70803.2,81920.0,287.8,1410,55
1776342989.3004222,0,100.0,70803.2,81920.0,288.4,1410,55
1776342989.800615,0,96.0,70803.2,81920.0,290.9,1410,55
1776342990.3008223,0,100.0,70803.2,81920.0,295.8,1410,56
1776342990.8025498,0,100.0,70803.2,81920.0,294.6,1410,56
1776342991.3027153,0,100.0,70803.2,81920.0,292.6,1410,56
1776342991.802894,0,100.0,70803.2,81920.0,298.6,1410,56
1776342992.303079,0,100.0,70803.2,81920.0,291.8,1410,56
1776342992.8032875,0,96.0,70803.2,81920.0,294.6,1410,56
1776342993.303491,0,100.0,70803.2,81920.0,293.5,1410,56
1776342993.8036666,0,100.0,70803.2,81920.0,294.8,1410,56
1776342994.3038256,0,100.0,70803.2,81920.0,296.8,1410,57
1776342994.804079,0,100.0,70803.2,81920.0,298.2,1410,57
1776342995.3042777,0,100.0,70803.2,81920.0,295.0,1410,57
1776342995.8044982,0,100.0,70803.2,81920.0,301.4,1410,57
1776342996.3046684,0,100.0,70803.2,81920.0,294.6,1410,57
1776342996.8048372,0,100.0,70803.2,81920.0,292.2,1410,57
1776342997.304974,0,100.0,70803.2,81920.0,295.3,1410,57
1776342997.8051248,0,100.0,70803.2,81920.0,296.9,1410,57
1776342998.3053248,0,100.0,70803.2,81920.0,295.5,1410,57
1776342998.8055286,0,94.0,70803.2,81920.0,297.2,1410,57
1776342999.3056948,0,100.0,70803.2,81920.0,295.2,1410,57
1776342999.805846,0,100.0,70803.2,81920.0,293.9,1410,58
1776343000.306027,0,100.0,70803.2,81920.0,300.2,1410,58
1776343000.8062172,0,100.0,70803.2,81920.0,299.6,1410,58
1776343001.3063967,0,100.0,70803.2,81920.0,297.6,1410,58
1776343001.8066123,0,100.0,70803.2,81920.0,297.4,1410,58
1776343002.3067958,0,100.0,70803.2,81920.0,297.9,1410,58
1776343002.8069746,0,100.0,70803.2,81920.0,299.0,1410,58
1776343003.3071618,0,100.0,70803.2,81920.0,297.7,1410,58
1776343003.8073738,0,100.0,70803.2,81920.0,297.2,1410,58
1776343004.3075938,0,100.0,70803.2,81920.0,295.9,1410,58
1776343004.8077745,0,100.0,70803.2,81920.0,298.1,1410,58
1776343005.307953,0,100.0,70803.2,81920.0,300.3,1410,58
1776343005.8082032,0,100.0,70803.2,81920.0,300.4,1410,58
1776343006.3084006,0,100.0,70803.2,81920.0,299.9,1410,59
1776343006.8086133,0,100.0,70803.2,81920.0,297.5,1410,59
1776343007.3088932,0,100.0,70803.2,81920.0,294.8,1365,59
1776343007.809064,0,100.0,70803.2,81920.0,300.5,1410,59
1776343008.309202,0,100.0,70803.2,81920.0,298.5,1410,59
1776343008.8093843,0,100.0,70803.2,81920.0,299.9,1410,59
1776343009.3096066,0,100.0,70803.2,81920.0,299.5,1410,59
1776343009.8101184,0,100.0,70803.2,81920.0,297.4,1410,59
1776343010.3103426,0,100.0,70803.2,81920.0,297.5,1410,59
1776343010.8105516,0,100.0,70803.2,81920.0,295.7,1410,59
1776343011.3107412,0,100.0,70803.2,81920.0,295.3,1410,59
