2026/04/18 17:10:24.652, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:24.970, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:25.001, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:25.018, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:25.051, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:25.679, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:25.998, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:26.030, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:26.049, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:26.077, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:26.711, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:27.032, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:27.059, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:27.077, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:27.113, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:27.743, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:28.061, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:28.090, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:28.115, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:28.146, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:28.771, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:29.092, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:29.123, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:29.142, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:29.172, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:29.810, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:30.121, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:30.151, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:30.170, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:30.207, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:30.923, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:31.156, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:31.179, 0 MiB, 81920 MiB, 0 %, 60.94 W
