timestamp,gpu_index,utilization_pct,memory_used_mb,memory_total_mb,power_draw_w,sm_clock_mhz
1776342914.7054243,0,0.0,762.4375,81920.0,53.888,210
1776342914.8097427,0,0.0,762.4375,81920.0,53.985,210
1776342915.140212,0,0.0,762.4375,81920.0,53.694,210
1776342915.2968223,0,0.0,762.4375,81920.0,53.798,210
1776342915.3972504,0,0.0,762.4375,81920.0,53.604,210
1776342915.49776,0,0.0,762.4375,81920.0,53.604,210
1776342915.5982742,0,0.0,762.4375,81920.0,53.701,210
1776342915.7619395,0,0.0,762.4375,81920.0,53.604,210
1776342915.8693151,0,0.0,762.4375,81920.0,53.516,210
1776342915.9849713,0,0.0,762.4375,81920.0,53.506,210
1776342916.0938933,0,0.0,762.4375,81920.0,53.408,210
1776342916.2125738,0,0.0,762.4375,81920.0,53.401,210
1776342916.3135633,0,0.0,762.4375,81920.0,53.401,210
1776342916.4191167,0,0.0,762.4375,81920.0,53.509,210
1776342916.5245,0,0.0,763.3125,81920.0,53.418,210
1776342916.6260483,0,0.0,765.6875,81920.0,53.728,210
1776342916.7266853,0,0.0,765.6875,81920.0,53.401,210
1776342916.8273318,0,0.0,765.6875,81920.0,53.314,210
1776342916.9277577,0,0.0,765.6875,81920.0,53.311,210
1776342917.0282755,0,0.0,765.6875,81920.0,53.202,210
1776342917.1301768,0,0.0,765.6875,81920.0,53.311,210
1776342917.3493795,0,0.0,765.6875,81920.0,53.098,210
1776342917.4504306,0,0.0,762.4375,81920.0,53.195,210
1776342917.5538263,0,0.0,762.4375,81920.0,53.516,210
1776342917.6541886,0,0.0,762.4375,81920.0,53.115,210
1776342917.754449,0,0.0,762.4375,81920.0,53.017,210
1776342917.854681,0,0.0,762.4375,81920.0,53.108,210
1776342918.2125223,0,0.0,762.4375,81920.0,52.919,210
1776342918.3135734,0,0.0,762.4375,81920.0,53.017,210
