timestamp,gpu_index,utilization_pct,memory_used_mb,memory_total_mb,power_draw_w,sm_clock_mhz
1776342832.283685,0,100.0,70795.25,81920.0,289.291,1395
1776342832.3850348,0,100.0,70795.25,81920.0,89.558,1410
1776342832.485252,0,43.0,70795.25,81920.0,89.558,1305
1776342832.5854435,0,43.0,70795.25,81920.0,299.87,1320
1776342832.6856418,0,100.0,70795.25,81920.0,301.703,1350
1776342832.7858615,0,100.0,70795.25,81920.0,300.8,1350
1776342832.8860447,0,100.0,70795.25,81920.0,304.837,1350
1776342832.9862118,0,100.0,70795.25,81920.0,305.058,1350
1776342833.0873463,0,100.0,70795.25,81920.0,304.53,1350
1776342833.1875772,0,100.0,70795.25,81920.0,304.174,1350
1776342833.287767,0,100.0,70795.25,81920.0,294.855,1305
1776342833.3879373,0,100.0,70795.25,81920.0,294.31,1335
1776342833.488213,0,100.0,70795.25,81920.0,288.817,1335
1776342833.5884259,0,100.0,70795.25,81920.0,293.346,1335
1776342833.6886344,0,100.0,70795.25,81920.0,301.009,1350
1776342833.7888637,0,100.0,70795.25,81920.0,303.464,1350
1776342833.8891098,0,100.0,70795.25,81920.0,305.468,1350
1776342833.9893208,0,100.0,70795.25,81920.0,299.603,1350
1776342834.0895185,0,100.0,70795.25,81920.0,302.956,1350
1776342834.1897044,0,100.0,70795.25,81920.0,303.805,1350
1776342834.2898867,0,100.0,70795.25,81920.0,299.224,1335
1776342834.3900762,0,100.0,70795.25,81920.0,299.378,1335
1776342834.4902742,0,100.0,70795.25,81920.0,299.378,1320
1776342834.5904703,0,100.0,70795.25,81920.0,298.12,1335
1776342834.6906557,0,100.0,70795.25,81920.0,296.334,1335
1776342834.7908528,0,100.0,70795.25,81920.0,296.334,1335
1776342834.891052,0,100.0,70795.25,81920.0,292.585,1335
1776342834.9912477,0,100.0,70795.25,81920.0,294.87,1335
1776342835.091449,0,100.0,70795.25,81920.0,299.686,1335
1776342835.1916468,0,100.0,70795.25,81920.0,295.435,1335
1776342835.2918575,0,100.0,70795.25,81920.0,295.717,1335
1776342835.3921163,0,100.0,70795.25,81920.0,294.03,1335
1776342835.4923425,0,100.0,70795.25,81920.0,301.517,1335
1776342835.5946794,0,100.0,70795.25,81920.0,295.734,1335
1776342835.6948185,0,100.0,70795.25,81920.0,295.734,1335
1776342835.7950122,0,100.0,70795.25,81920.0,297.171,1335
1776342835.8951705,0,100.0,70795.25,81920.0,296.127,1335
1776342835.995355,0,100.0,70795.25,81920.0,295.441,1335
1776342836.0955234,0,100.0,70795.25,81920.0,296.356,1335
1776342836.1956916,0,100.0,70795.25,81920.0,294.201,1335
1776342836.2961097,0,100.0,70795.25,81920.0,293.762,1335
1776342836.3962796,0,100.0,70795.25,81920.0,302.272,1335
1776342836.4965255,0,100.0,70795.25,81920.0,300.634,1335
1776342836.5967271,0,100.0,70795.25,81920.0,298.151,1335
1776342836.6969285,0,100.0,70795.25,81920.0,302.944,1305
1776342836.7977383,0,100.0,70795.25,81920.0,330.162,1245
1776342836.8979483,0,100.0,70795.25,81920.0,283.481,1335
1776342836.9981308,0,100.0,70795.25,81920.0,300.66,1350
1776342837.09828,0,100.0,70795.25,81920.0,298.165,1350
1776342837.198684,0,100.0,70795.25,81920.0,304.5,1350
1776342837.298846,0,100.0,70795.25,81920.0,304.5,1350
1776342837.3990014,0,100.0,70795.25,81920.0,300.469,1350
1776342837.4992123,0,100.0,70795.25,81920.0,300.469,1350
1776342837.5994248,0,100.0,70795.25,81920.0,304.396,1335
1776342837.6996381,0,100.0,70795.25,81920.0,304.805,1335
1776342837.8002732,0,100.0,70795.25,81920.0,294.755,1335
1776342837.9005332,0,100.0,70795.25,81920.0,284.888,1305
1776342838.0007486,0,100.0,70795.25,81920.0,287.269,1350
1776342838.1009626,0,100.0,70795.25,81920.0,293.43,1350
1776342838.2011764,0,100.0,70795.25,81920.0,302.412,1350
1776342838.3018022,0,100.0,70795.25,81920.0,305.06,1350
1776342838.402149,0,100.0,70795.25,81920.0,306.132,1350
1776342838.5023592,0,100.0,70795.25,81920.0,297.666,1335
1776342838.602574,0,100.0,70795.25,81920.0,297.19,1335
1776342838.7027915,0,100.0,70795.25,81920.0,290.552,1350
1776342838.802965,0,100.0,70795.25,81920.0,301.221,1335
1776342838.9031022,0,100.0,70795.25,81920.0,294.668,1320
1776342839.0032325,0,100.0,70795.25,81920.0,290.744,1320
1776342839.1035454,0,100.0,70795.25,81920.0,299.588,1335
1776342839.2037601,0,100.0,70795.25,81920.0,298.716,1335
1776342839.3042727,0,100.0,70795.25,81920.0,298.716,1335
1776342839.4043965,0,100.0,70795.25,81920.0,292.16,1335
1776342839.504507,0,100.0,70795.25,81920.0,295.444,1335
1776342839.6046236,0,100.0,70795.25,81920.0,293.633,1335
1776342839.7047348,0,100.0,70795.25,81920.0,295.057,1335
1776342839.8052845,0,100.0,70795.25,81920.0,295.849,1335
1776342839.9054809,0,100.0,70795.25,81920.0,294.006,1335
1776342840.0056756,0,100.0,70795.25,81920.0,294.006,1335
1776342840.105897,0,100.0,70795.25,81920.0,295.175,1335
1776342840.2063231,0,100.0,70795.25,81920.0,301.055,1335
1776342840.30654,0,100.0,70795.25,81920.0,301.055,1335
1776342840.406762,0,100.0,70795.25,81920.0,296.605,1335
1776342840.5069804,0,100.0,70795.25,81920.0,297.567,1335
1776342840.607132,0,100.0,70795.25,81920.0,293.703,1335
1776342840.7072866,0,100.0,70795.25,81920.0,296.314,1335
1776342840.8076284,0,100.0,70795.25,81920.0,297.114,1335
1776342840.9078734,0,100.0,70795.25,81920.0,291.703,1335
1776342841.007994,0,100.0,70795.25,81920.0,297.187,1320
1776342841.1081612,0,100.0,70795.25,81920.0,279.231,1335
1776342841.2083766,0,100.0,70795.25,81920.0,294.745,1320
1776342841.30854,0,100.0,70795.25,81920.0,296.699,1335
1776342841.408724,0,100.0,70795.25,81920.0,302.591,1350
1776342841.5088758,0,100.0,70795.25,81920.0,304.054,1350
1776342841.6090534,0,100.0,70795.25,81920.0,307.694,1350
1776342841.709236,0,100.0,70795.25,81920.0,303.827,1350
1776342841.8094037,0,100.0,70795.25,81920.0,297.742,1335
1776342841.909554,0,100.0,70795.25,81920.0,296.595,1335
1776342842.0097365,0,100.0,70795.25,81920.0,296.595,1335
1776342842.1099157,0,100.0,70795.25,81920.0,294.474,1335
1776342842.2101104,0,100.0,70795.25,81920.0,294.474,1335
1776342842.3108344,0,100.0,70795.25,81920.0,298.637,1350
1776342842.4110708,0,100.0,70795.25,81920.0,301.154,1350
1776342842.5112493,0,100.0,70795.25,81920.0,301.154,1350
1776342842.6114285,0,100.0,70795.25,81920.0,304.411,1350
1776342842.7116191,0,100.0,70795.25,81920.0,304.411,1350
1776342842.8120222,0,100.0,70795.25,81920.0,300.529,1335
1776342842.912714,0,100.0,70795.25,81920.0,295.821,1335
1776342843.0128982,0,100.0,70795.25,81920.0,297.089,1335
1776342843.1130784,0,100.0,70795.25,81920.0,297.972,1335
1776342843.2132623,0,100.0,70795.25,81920.0,295.172,1320
1776342843.3134453,0,100.0,70795.25,81920.0,291.484,1335
1776342843.4136312,0,100.0,70795.25,81920.0,295.161,1335
1776342843.5138166,0,100.0,70795.25,81920.0,300.764,1335
1776342843.6139994,0,100.0,70795.25,81920.0,294.189,1335
1776342843.7141812,0,100.0,70795.25,81920.0,296.147,1335
1776342843.8143623,0,100.0,70795.25,81920.0,293.811,1335
1776342843.9145474,0,100.0,70795.25,81920.0,294.674,1335
1776342844.0147324,0,100.0,70795.25,81920.0,303.144,1335
1776342844.1149116,0,100.0,70795.25,81920.0,294.681,1335
1776342844.2150936,0,100.0,70795.25,81920.0,295.553,1335
1776342844.315277,0,100.0,70795.25,81920.0,295.349,1335
1776342844.4154608,0,100.0,70795.25,81920.0,296.004,1335
1776342844.5156476,0,100.0,70795.25,81920.0,295.554,1335
1776342844.615829,0,100.0,70795.25,81920.0,294.125,1335
1776342844.7159963,0,100.0,70795.25,81920.0,297.28,1335
1776342844.8161428,0,100.0,70795.25,81920.0,297.388,1335
1776342844.9163356,0,100.0,70795.25,81920.0,294.12,1335
1776342845.0165565,0,100.0,70795.25,81920.0,298.363,1335
1776342845.1167636,0,100.0,70795.25,81920.0,298.423,1335
1776342845.2169578,0,100.0,70795.25,81920.0,298.839,1335
1776342845.3172314,0,100.0,70795.25,81920.0,300.175,1350
1776342845.4174552,0,100.0,70795.25,81920.0,283.683,1380
1776342845.517776,0,100.0,70795.25,81920.0,283.683,1395
1776342845.6179504,0,100.0,70795.25,81920.0,304.299,1395
1776342845.7181494,0,100.0,70795.25,81920.0,304.396,1395
1776342845.8183384,0,100.0,70795.25,81920.0,304.396,1395
1776342845.918567,0,100.0,70795.25,81920.0,299.87,1395
