timestamp,gpu_index,utilization_pct,memory_used_mb,memory_total_mb,power_draw_w,sm_clock_mhz
1776342781.255732,0,100.0,70795.25,81920.0,305.544,1395
1776342781.3575926,0,54.0,70795.25,81920.0,88.971,1395
1776342781.4578018,0,54.0,70795.25,81920.0,88.971,1410
1776342781.5579262,0,17.0,70795.25,81920.0,88.782,1410
1776342781.6580884,0,17.0,70795.25,81920.0,88.782,1410
1776342781.7583222,0,0.0,70795.25,81920.0,88.976,1410
1776342781.8585365,0,0.0,70795.25,81920.0,88.478,1410
1776342781.958946,0,0.0,70795.25,81920.0,88.402,1410
1776342782.0590787,0,0.0,70795.25,81920.0,88.099,1410
1776342782.1592307,0,0.0,70795.25,81920.0,87.808,1410
1776342782.25942,0,0.0,70795.25,81920.0,87.787,1410
1776342782.359667,0,0.0,70795.25,81920.0,87.682,1410
1776342782.4598527,0,0.0,70795.25,81920.0,88.078,1410
1776342782.5600238,0,0.0,70795.25,81920.0,87.593,1410
1776342782.6603312,0,0.0,70795.25,81920.0,87.718,1410
1776342782.7605023,0,0.0,70795.25,81920.0,87.359,1410
1776342782.8606718,0,0.0,70795.25,81920.0,87.205,1410
1776342782.9608204,0,0.0,70795.25,81920.0,87.226,1410
1776342783.0610456,0,0.0,70795.25,81920.0,87.088,1410
1776342783.1612198,0,0.0,70795.25,81920.0,87.032,1410
1776342783.2613769,0,0.0,70795.25,81920.0,87.129,1410
1776342783.3615859,0,0.0,70795.25,81920.0,86.826,1410
1776342783.4617808,0,0.0,70795.25,81920.0,86.826,1410
1776342783.5619528,0,0.0,70795.25,81920.0,309.971,1395
1776342783.662085,0,42.0,70795.25,81920.0,309.971,1395
1776342783.7622566,0,42.0,70795.25,81920.0,299.111,1395
1776342783.862447,0,100.0,70795.25,81920.0,297.931,1395
1776342783.9627156,0,100.0,70795.25,81920.0,296.697,1395
1776342784.063045,0,100.0,70795.25,81920.0,296.697,1395
1776342784.1631942,0,100.0,70795.25,81920.0,300.552,1395
1776342784.263337,0,100.0,70795.25,81920.0,299.278,1395
1776342784.3634622,0,100.0,70795.25,81920.0,298.155,1395
1776342784.4635994,0,100.0,70795.25,81920.0,296.591,1395
1776342784.5637581,0,100.0,70795.25,81920.0,298.827,1395
1776342784.6639173,0,100.0,70795.25,81920.0,299.301,1395
1776342784.764035,0,100.0,70795.25,81920.0,298.839,1395
1776342784.8641636,0,100.0,70795.25,81920.0,300.436,1395
1776342784.9643059,0,100.0,70795.25,81920.0,297.072,1395
1776342785.0644555,0,100.0,70795.25,81920.0,298.62,1395
1776342785.164604,0,100.0,70795.25,81920.0,301.492,1395
1776342785.2647665,0,100.0,70795.25,81920.0,298.423,1395
1776342785.3649147,0,100.0,70795.25,81920.0,296.098,1380
