request_id,timestamp,ttft_ms,tpot_ms,total_latency_ms,tokens_in,tokens_out,error
0,1776341438.6338327,612.7021312713623,11.491803561939912,3543.11203956604,173,256,
1,1776341446.0240521,27.205228805541992,11.466390011357326,2951.13468170166,74,256,
2,1776341448.975974,25.369644165039062,11.482722151513194,2953.4637928009033,119,256,
3,1776341451.9303434,21.862268447875977,11.468590007108801,2946.35272026062,83,256,
4,1776341454.877399,21.970033645629883,11.465003443699256,2945.5459117889404,65,256,
5,1776341457.8235636,21.775484085083008,11.458756876926795,2943.758487701416,47,256,
6,1776341460.7685962,27.00352668762207,11.488813512465534,2956.650972366333,137,256,
7,1776341463.7261376,19.774913787841797,11.452658971150717,2940.2029514312744,38,256,
8,1776341466.666958,21.03400230407715,11.461071874581132,2943.6073303222656,56,256,
9,1776341469.6112041,27.133464813232422,11.507852404725318,2961.6358280181885,182,256,
10,1776341472.5738738,19.475221633911133,11.449914820053998,2939.2035007476807,20,256,
11,1776341475.5137076,26.13067626953125,11.490807813756605,2956.286668777466,137,256,
12,1776341478.4709225,18.494606018066406,11.45483933243097,2939.478635787964,38,256,
13,1776341481.4110332,26.13091468811035,11.4929853701124,2956.8421840667725,137,256,
14,1776341484.375181,21.915435791015625,11.456360536463121,2943.2873725891113,47,256,
15,1776341487.3194966,18.737316131591797,11.453089994542738,2939.2752647399902,38,256,
16,1776341490.2597706,24.706363677978516,11.461414075365253,2947.366952896118,65,256,
17,1776341493.2082703,19.995689392089844,11.446185205496993,2938.7729167938232,20,256,
18,1776341496.1476264,27.118206024169922,11.492832969216739,2957.7906131744385,146,256,
19,1776341499.1068292,26.50761604309082,11.492023281022615,2956.9735527038574,146,256,
20,1776341502.065025,19.68073844909668,11.455451740938074,2940.8209323883057,38,256,
21,1776341505.006913,131.24394416809082,11.484626695221545,3059.823751449585,128,256,
22,1776341508.0682306,29.779911041259766,11.506225548538508,2963.867425918579,182,256,
23,1776341511.0338314,28.1980037689209,11.505772085750804,2962.169885635376,173,256,
24,1776341513.9974666,22.967815399169922,11.471338833079619,2948.1592178344727,83,256,
25,1776341516.9463704,27.074337005615234,11.500062194525027,2959.590196609497,137,256,
26,1776341519.9079401,24.385690689086914,11.487481173347025,2953.693389892578,119,256,
27,1776341522.8631744,22.48358726501465,11.487978579951267,2951.918125152588,92,256,
28,1776341525.8160567,23.331880569458008,11.486222697239295,2952.3186683654785,119,256,
29,1776341528.769267,22.695541381835938,11.475530325197706,2948.955774307251,65,256,
30,1776341531.718869,21.538496017456055,11.47018039927763,2946.434497833252,47,256,
31,1776341534.6663406,22.02892303466797,11.472803003647748,2947.5936889648438,83,256,
32,1776341537.6148782,21.856069564819336,11.479874218211455,2949.2239952087402,74,256,
33,1776341540.5654013,22.374868392944336,11.497819189931832,2954.3187618255615,128,256,
34,1776341543.520742,27.060985565185547,11.503048504100127,2960.338354110718,146,256,
35,1776341546.4851732,22.374629974365234,11.47621659671559,2948.809862136841,74,256,
36,1776341549.435495,26.160717010498047,11.510607775519876,2961.3656997680664,146,256,
37,1776341552.3986728,27.37879753112793,11.533576366948147,2968.4407711029053,182,256,
38,1776341555.3684192,27.918577194213867,11.519990247838637,2965.5160903930664,155,256,
39,1776341558.3356822,27.003049850463867,11.526349011589499,2966.222047805786,164,256,
40,1776341561.3033423,27.076005935668945,11.525743147906136,2966.1405086517334,164,256,
41,1776341564.271051,23.336410522460938,11.513297698077034,2959.2273235321045,128,256,
42,1776341567.2317572,18.86749267578125,11.471798840691061,2944.176197052002,11,256,
43,1776341570.176925,28.963804244995117,11.528497583725873,2968.730688095093,164,256,
44,1776341573.1468751,18.622398376464844,11.476470909866633,2945.122480392456,29,256,
45,1776341576.0929198,22.45926856994629,11.504867965099859,2956.20059967041,92,256,
46,1776341579.050154,29.3276309967041,11.529780369178921,2969.421625137329,164,256,
47,1776341582.0209258,22.56035804748535,11.504023682837392,2956.0863971710205,92,256,
48,1776341584.9781048,27.695894241333008,11.533408071480546,2968.714952468872,182,256,
49,1776341587.94834,22.531986236572266,11.512646955602309,2958.256959915161,128,256,
50,1776341590.908265,27.59408950805664,11.527213863298005,2967.033624649048,164,256,
51,1776341593.8764782,18.712997436523438,11.481124279545803,2946.399688720703,38,256,
52,1776341596.8238652,23.155689239501953,11.504047992182713,2956.6879272460938,110,256,
53,1776341599.781907,22.682666778564453,11.501737669402479,2955.6257724761963,101,256,
54,1776341602.740125,27.640581130981445,11.520806480856503,2965.4462337493896,146,256,
55,1776341605.706636,27.254819869995117,11.525782416848575,2966.329336166382,155,256,
56,1776341608.6741364,18.939733505249023,11.471009721942977,2944.047212600708,11,256,
57,1776341611.6187093,26.294946670532227,11.527789807787128,2965.88134765625,164,256,
58,1776341614.5861154,22.564411163330078,11.49755739698223,2954.441547393799,83,256,
59,1776341617.5415995,23.755550384521484,11.513189240997912,2959.6188068389893,119,256,
60,1776341620.502902,21.636247634887695,11.529908460729262,2961.7629051208496,164,256,
61,1776341623.4662514,31.360149383544922,11.54013334536085,2974.0941524505615,182,256,
62,1776341626.4419522,21.858930587768555,11.476915957880955,2948.472499847412,38,256,
63,1776341629.3915439,23.8649845123291,11.491668925565833,2954.240560531616,74,256,
64,1776341632.3469176,29.44207191467285,11.527416752833947,2968.933343887329,164,256,
65,1776341635.3166556,22.1860408782959,11.506060992970186,2956.2315940856934,92,256,
66,1776341638.2738993,22.272348403930664,11.476883233762255,2948.8775730133057,29,256,
67,1776341641.223229,25.794267654418945,11.517555573407341,2962.770938873291,128,256,
68,1776341644.1886806,27.024030685424805,11.525647780474495,2966.064214706421,155,256,
69,1776341647.156164,22.034406661987305,11.486466725667318,2951.0834217071533,56,256,
70,1776341650.1083019,24.795055389404297,11.497220806047029,2956.5863609313965,83,256,
71,1776341653.0660474,23.978471755981445,11.49308634739296,2954.7154903411865,83,256,
72,1776341656.0220053,27.63676643371582,11.527267156862745,2967.089891433716,164,256,
73,1776341658.9904916,24.226903915405273,11.509077221739526,2959.0415954589844,119,256,
74,1776341661.9511752,23.372411727905273,11.515043296065985,2959.7084522247314,128,256,
75,1776341664.9120204,19.52052116394043,11.482477188110352,2947.55220413208,11,256,
76,1776341667.8611896,28.142452239990234,11.5112678677428,2963.5157585144043,128,256,
77,1776341670.8255217,27.56977081298828,11.525838515337776,2966.658592224121,155,256,
78,1776341673.7928,17.966270446777344,11.48239210540173,2945.9762573242188,38,256,
79,1776341676.739121,22.237539291381836,11.510106629016352,2957.3147296905518,110,256,
80,1776341679.6971433,20.709514617919922,11.49760788562251,2952.59952545166,74,256,
81,1776341682.650295,23.279428482055664,11.516524296180874,2959.9931240081787,128,256,
82,1776341685.6108353,26.929140090942383,11.534550610710593,2968.2395458221436,173,256,
83,1776341688.5797775,27.994394302368164,11.526964225021063,2967.3702716827393,146,256,
84,1776341691.547864,17.88949966430664,11.469578275493546,2942.631959915161,11,256,
85,1776341694.4908483,21.254539489746094,11.495419109568877,2952.5864124298096,74,256,
86,1776341697.4439979,17.377138137817383,11.473450006223192,2943.1068897247314,11,256,
87,1776341700.387519,21.718978881835938,11.471637090047201,2946.986436843872,20,256,
88,1776341703.33491,17.82703399658203,11.484252705293542,2946.3114738464355,38,256,
89,1776341706.2826827,27.904033660888672,11.532690010818781,2968.7399864196777,173,256,
90,1776341709.2534883,26.544570922851562,11.525793636546416,2965.6219482421875,146,256,
91,1776341712.2201498,27.59099006652832,11.487259584314684,2956.8421840667725,65,256,
92,1776341715.1775515,26.875972747802734,11.533069610595703,2967.808723449707,164,256,
93,1776341718.1462157,27.99201011657715,11.487789715037627,2957.378387451172,65,256,
94,1776341721.1041925,22.359371185302734,11.45345369974772,2942.9900646209717,11,256,
95,1776341724.0476043,27.688264846801758,11.528623805326575,2967.487335205078,164,256,
96,1776341727.015777,22.19557762145996,11.501271116967295,2955.01971244812,92,256,
97,1776341729.9715044,26.714801788330078,11.531833573883654,2967.332363128662,164,256,
98,1776341732.939518,18.253326416015625,11.484813690185547,2946.88081741333,47,256,
99,1776341735.8868885,21.19278907775879,11.484604255825866,2949.7668743133545,47,256,
100,1776341738.8373709,20.75982093811035,11.487119338091683,2949.9752521514893,47,256,
101,1776341741.7878578,25.940656661987305,11.513645508710075,2961.9202613830566,119,256,
102,1776341744.7508142,29.173612594604492,11.519988377888998,2966.770648956299,146,256,
103,1776341747.7201312,26.8557071685791,11.520518508611941,2964.587926864624,137,256,
104,1776341750.6857076,22.87435531616211,11.488270292095109,2952.383279800415,65,256,
105,1776341753.638963,17.7762508392334,11.50051939721201,2950.408697128296,83,256,
106,1776341756.5903974,28.13887596130371,11.527864605772729,2967.7443504333496,164,256,
107,1776341759.5595663,19.602298736572266,11.52342441035252,2958.075523376465,146,256,
108,1776341762.5185592,27.866840362548828,11.530496559891047,2968.1434631347656,164,256,
109,1776341765.4877703,19.377470016479492,11.478598912556967,2946.420192718506,11,256,
110,1776341768.434909,28.469562530517578,11.523084079518037,2966.856002807617,137,256,
111,1776341771.40309,28.9609432220459,11.534455243278952,2970.2470302581787,173,256,
112,1776341774.374715,24.2462158203125,11.489037906422334,2953.950881958008,56,256,
113,1776341777.3292756,27.580976486206055,11.526022705377317,2966.716766357422,146,256,
