timestamp,gpu_index,utilization_pct,memory_used_mb,memory_total_mb,power_draw_w,sm_clock_mhz
1776342864.760995,0,0.0,70795.25,81920.0,90.742,1410
1776342864.8623827,0,0.0,70795.25,81920.0,90.754,1410
1776342864.9625974,0,11.0,70795.25,81920.0,264.097,1410
1776342865.0628068,0,11.0,70795.25,81920.0,296.006,1290
1776342865.1629932,0,98.0,70795.25,81920.0,278.867,1290
1776342865.263152,0,98.0,70795.25,81920.0,300.172,1305
1776342865.363364,0,100.0,70795.25,81920.0,302.96,1305
1776342865.4635754,0,100.0,70795.25,81920.0,305.185,1305
1776342865.563786,0,100.0,70795.25,81920.0,302.97,1305
1776342865.6639972,0,100.0,70795.25,81920.0,306.251,1290
1776342865.7642255,0,100.0,70795.25,81920.0,302.483,1305
1776342865.8644373,0,100.0,70795.25,81920.0,285.021,1260
1776342865.9646485,0,100.0,70795.25,81920.0,300.457,1290
1776342866.065822,0,100.0,70795.25,81920.0,294.681,1275
1776342866.1660318,0,100.0,70795.25,81920.0,291.607,1290
1776342866.2667613,0,100.0,70795.25,81920.0,302.88,1290
1776342866.367006,0,100.0,70795.25,81920.0,300.451,1290
1776342866.4673917,0,100.0,70795.25,81920.0,302.489,1290
1776342866.5676353,0,100.0,70795.25,81920.0,300.278,1290
1776342866.6678448,0,100.0,70795.25,81920.0,303.361,1275
1776342866.7680936,0,100.0,70795.25,81920.0,297.184,1275
1776342866.8683333,0,100.0,70795.25,81920.0,296.428,1275
1776342866.9686794,0,100.0,70795.25,81920.0,304.312,1275
1776342867.068871,0,100.0,70795.25,81920.0,290.72,1275
1776342867.1690652,0,100.0,70795.25,81920.0,300.168,1290
1776342867.269256,0,100.0,70795.25,81920.0,302.97,1275
1776342867.3694444,0,100.0,70795.25,81920.0,312.368,1275
1776342867.4696374,0,100.0,70795.25,81920.0,288.631,1290
1776342867.5698295,0,100.0,70795.25,81920.0,299.197,1290
1776342867.67002,0,100.0,70795.25,81920.0,299.197,1260
1776342867.770236,0,100.0,70795.25,81920.0,308.925,1275
1776342867.8704555,0,100.0,70795.25,81920.0,295.336,1275
1776342867.9706457,0,100.0,70795.25,81920.0,291.742,1275
1776342868.0708103,0,100.0,70795.25,81920.0,291.742,1275
1776342868.1709292,0,100.0,70795.25,81920.0,299.093,1275
1776342868.2710726,0,100.0,70795.25,81920.0,299.093,1275
1776342868.3712487,0,100.0,70795.25,81920.0,299.973,1275
1776342868.4714825,0,100.0,70795.25,81920.0,298.044,1275
1776342868.5717015,0,100.0,70795.25,81920.0,299.626,1290
1776342868.6719196,0,100.0,70795.25,81920.0,303.526,1290
1776342868.7721398,0,100.0,70795.25,81920.0,298.818,1275
1776342868.8723583,0,100.0,70795.25,81920.0,298.262,1275
1776342868.9729068,0,100.0,70795.25,81920.0,297.007,1275
1776342869.0734944,0,100.0,70795.25,81920.0,296.703,1260
1776342869.1737049,0,100.0,70795.25,81920.0,296.903,1275
1776342869.273921,0,100.0,70795.25,81920.0,295.568,1275
1776342869.3741343,0,100.0,70795.25,81920.0,307.448,1275
1776342869.4743545,0,100.0,70795.25,81920.0,296.245,1275
1776342869.5745685,0,100.0,70795.25,81920.0,298.63,1275
1776342869.6747806,0,100.0,70795.25,81920.0,296.802,1275
1776342869.774998,0,100.0,70795.25,81920.0,301.706,1275
1776342869.875174,0,100.0,70795.25,81920.0,285.967,1320
