request_id,timestamp,ttft_ms,tpot_ms,total_latency_ms,tokens_in,tokens_out,error
0,1776342874.8378842,230.5755615234375,18.933608485203163,5058.645725250244,173,256,
1,1776342874.8382475,174.19719696044922,19.074354919732787,5038.15770149231,74,256,
2,1776342874.838335,174.15356636047363,19.089761434816847,5042.0427322387695,119,256,
3,1776342874.8384068,229.38203811645508,18.93905845342898,5058.841943740845,83,256,
4,1776342874.8384738,201.19643211364746,18.998467688466988,5045.8056926727295,65,256,
5,1776342874.8386178,147.04084396362305,19.127928976919137,5024.662733078003,47,256,
6,1776342874.838687,174.24678802490234,19.06420576806162,5035.619258880615,137,256,
7,1776342874.8387501,202.3177146911621,19.013147728115904,5050.670385360718,38,256,
8,1776342874.8388104,128.29947471618652,19.146462982776118,5010.647535324097,56,256,
9,1776342874.8388693,128.56650352478027,19.14821886548809,5011.362314224243,182,256,
10,1776342874.8389323,127.83217430114746,19.142818450927734,5009.25087928772,20,256,
11,1776342874.838993,128.3559799194336,19.110585194008024,5001.5552043914795,137,256,
12,1776342874.8390574,173.86245727539062,19.05837059020996,5033.746957778931,38,256,
13,1776342874.839118,146.44908905029297,19.125065149045458,5023.340702056885,137,256,
14,1776342874.8391793,128.07106971740723,19.147139904545803,5010.591745376587,47,256,
15,1776342874.8392396,201.48825645446777,19.016747381172927,5050.758838653564,38,256,
16,1776342874.8392987,127.44259834289551,19.10522311341529,4999.274492263794,65,256,
17,1776342874.8393586,127.92658805847168,19.10860211241479,5000.620126724243,20,256,
18,1776342874.839417,173.53153228759766,19.06604953840667,5035.374164581299,146,256,
19,1776342874.8394783,146.1939811706543,19.13021125045477,5024.397850036621,146,256,
20,1776342874.8395386,127.24637985229492,19.074109956329945,4991.144418716431,38,256,
21,1776342874.839601,146.15607261657715,19.138275408277323,5026.416301727295,128,256,
22,1776342874.839665,200.05369186401367,19.0032211004519,5045.875072479248,182,256,
23,1776342874.839824,201.17545127868652,19.009885600968904,5048.696279525757,173,256,
24,1776342874.839899,145.2014446258545,19.11422131108303,5019.327878952026,83,256,
25,1776342874.8399608,199.9189853668213,19.010289510091145,5047.5428104400635,137,256,
26,1776342874.8400223,127.03752517700195,19.122609905168122,5003.303050994873,119,256,
27,1776342874.840114,200.35123825073242,19.016213510550706,5049.485683441162,92,256,
28,1776342874.840192,126.83415412902832,19.12061092900295,5002.58994102478,119,256,
29,1776342874.8402648,145.33162117004395,19.12687619527181,5022.6850509643555,65,256,
30,1776342874.8403382,126.20878219604492,19.141324361165363,5007.246494293213,47,256,
31,1776342874.8404086,200.50859451293945,19.00481990739411,5046.7376708984375,83,256,
32,1776342874.840479,145.20764350891113,19.132168152753046,5023.9105224609375,74,256,
33,1776342874.8405488,171.2934970855713,19.07820421106675,5036.235570907593,128,256,
34,1776342874.8406181,144.86980438232422,19.12068198708927,5020.643711090088,146,256,
35,1776342874.8406816,144.9575424194336,19.129030377257106,5022.860288619995,74,256,
36,1776342874.8407402,226.94802284240723,18.93808420966653,5056.159496307373,146,256,
37,1776342874.8407996,126.27696990966797,19.07805087519627,4991.179943084717,182,256,
38,1776342874.8409414,144.5610523223877,19.12248087864296,5020.793676376343,155,256,
39,1776342874.8410048,126.3742446899414,19.09356958725873,4995.234489440918,164,256,
40,1776342874.8410661,198.49324226379395,18.994689455219344,5042.139053344727,164,256,
