request_id,timestamp,ttft_ms,tpot_ms,total_latency_ms,tokens_in,tokens_out,error
0,1776342704.8482342,45.621395111083984,11.785405289893056,3050.8997440338135,173,256,
1,1776342704.848686,45.17841339111328,11.789004942950081,3051.374673843384,74,256,
2,1776342704.8487756,45.003652572631836,11.777790854958926,3048.340320587158,119,256,
3,1776342704.848851,38.43069076538086,11.747831456801471,3034.127712249756,83,256,
4,1776342704.8489168,44.925689697265625,11.780659357706705,3048.9938259124756,65,256,
5,1776342704.849049,44.82388496398926,11.791398478489295,3051.6304969787598,47,256,
6,1776342704.849122,44.644832611083984,11.772858862783394,3046.7238426208496,137,256,
7,1776342704.8491957,44.705867767333984,11.792846754485486,3051.881790161133,38,256,
8,1776342707.885382,22.60732650756836,11.806714301015816,3033.3194732666016,56,256,
9,1776342707.898537,47.96147346496582,11.800504198261336,3057.0900440216064,182,256,
10,1776342707.8987565,47.7752685546875,11.809867971083698,3059.2916011810303,20,256,
11,1776342707.898926,47.76406288146973,11.804039338055778,3057.7940940856934,137,256,
12,1776342707.9015274,45.19844055175781,11.8103588328642,3056.839942932129,38,256,
13,1776342707.9017246,45.02582550048828,11.81166686263739,3057.0008754730225,137,256,
14,1776342707.9018745,44.896841049194336,11.814619513118968,3057.6248168945312,47,256,
15,1776342707.902006,44.78645324707031,11.815965876859778,3057.8577518463135,38,256,
16,1776342710.919692,36.936283111572266,11.787132188385607,3042.6549911499023,65,256,
17,1776342710.9576304,47.05381393432617,11.791414373061237,3053.8644790649414,20,256,
18,1776342710.957832,47.00493812561035,11.798273348340802,3055.5646419525146,146,256,
19,1776342710.9602737,44.53015327453613,11.792541017719344,3051.6281127929688,146,256,
20,1776342710.960479,44.382333755493164,11.80125778796626,3053.7030696868896,38,256,
21,1776342710.9606252,44.25859451293945,11.802418091717888,3053.875207901001,128,256,
22,1776342710.9607687,44.137001037597656,11.804991142422546,3054.4097423553467,182,256,
23,1776342710.9609036,44.02446746826172,11.807729683670344,3054.995536804199,173,256,
24,1776342713.96327,35.30764579772949,11.761218426274318,3034.4183444976807,83,256,
25,1776342714.0129457,47.6381778717041,11.766822665345435,3048.17795753479,137,256,
26,1776342714.0131788,47.509193420410156,11.770374634686638,3048.954725265503,119,256,
27,1776342714.0166855,44.036149978637695,11.76916664721919,3045.1736450195312,92,256,
28,1776342714.0168796,43.866634368896484,11.771266600664925,3045.539617538452,119,256,
29,1776342714.017022,43.74527931213379,11.77230442271513,3045.682907104492,65,256,
30,1776342714.017148,43.67470741271973,11.772791544596354,3045.73655128479,47,256,
31,1776342714.0172813,43.56718063354492,11.774947596531288,3046.1788177490234,83,256,
32,1776342716.9982204,37.64009475708008,11.798399569941502,3046.231985092163,74,256,
33,1776342717.0617118,48.35653305053711,11.79349562701057,3055.6979179382324,128,256,
34,1776342717.063085,47.16372489929199,11.800608915441176,3056.318998336792,146,256,
35,1776342717.0631802,47.03068733215332,11.796168720020967,3055.0537109375,74,256,
36,1776342717.0632524,47.027587890625,11.803665348127776,3056.962251663208,146,256,
37,1776342717.0633154,46.99349403381348,11.806525436102175,3057.657480239868,182,256,
38,1776342717.0633764,46.96011543273926,11.809452842263614,3058.370590209961,155,256,
39,1776342717.0637643,46.59843444824219,11.812365288827934,3058.7515830993652,164,256,
40,1776342720.045652,35.81833839416504,11.779534582998238,3039.599657058716,164,256,
41,1776342720.1189775,47.01876640319824,11.777612274768305,3050.309896469116,128,256,
42,1776342720.1191888,46.8447208404541,11.783216513839422,3051.564931869507,11,256,
43,1776342720.1233304,42.853355407714844,11.78131664500517,3047.089099884033,164,256,
44,1776342720.1235313,42.68789291381836,11.78291825687184,3047.3320484161377,29,256,
45,1776342720.123687,54.92377281188965,11.777793659883386,3058.2611560821533,92,256,
46,1776342720.1238353,54.798126220703125,11.779266245224896,3058.5110187530518,164,256,
47,1776342720.1239688,54.68583106994629,11.780363905663584,3058.67862701416,92,256,
