tenant,request_id,submit_time,ttft_ms,total_latency_ms,tokens_out,prompt_tokens,error
flooder,3296,1776779302.0357912,41.43643379211426,1778.5823345184326,58,0,
flooder,1357,1776779241.718989,51.781654357910156,1677.1867275238037,57,0,
flooder,2095,1776779265.540698,53.65419387817383,1860.3312969207764,64,0,
flooder,4656,1776779345.306825,56.077003479003906,1893.3396339416504,53,0,
flooder,5714,1776779378.042999,44.30651664733887,1677.7613162994385,64,0,
flooder,7078,1776779421.0418708,24.059057235717773,1789.8716926574707,63,0,
flooder,1535,1776779247.339182,23.016691207885742,1582.8967094421387,64,0,
flooder,2105,1776779265.7980957,24.36971664428711,1774.587869644165,64,0,
flooder,3552,1776779310.0745494,96.35710716247559,1649.8985290527344,62,0,
flooder,4493,1776779339.9217784,84.06615257263184,1573.8649368286133,57,0,
flooder,5384,1776779368.4138787,52.70981788635254,1954.9565315246582,64,0,
flooder,7133,1776779422.829559,49.735069274902344,1633.4004402160645,64,0,
flooder,7038,1776779419.7060006,38.9859676361084,1565.783977508545,57,0,
flooder,2103,1776779265.760529,105.50308227539062,1811.7859363555908,61,0,
flooder,3312,1776779302.4874775,77.74996757507324,1844.9974060058594,63,0,
flooder,4757,1776779348.3680162,51.460981369018555,1705.6634426116943,64,0,
flooder,5567,1776779373.389878,60.71329116821289,1821.3794231414795,64,0,
flooder,1790,1776779255.309247,56.94580078125,1321.5141296386719,63,0,
flooder,1480,1776779245.7443688,22.42279052734375,1639.7955417633057,64,0,
flooder,2188,1776779268.492058,50.37498474121094,1614.243984222412,64,0,
flooder,3430,1776779305.8644626,42.13833808898926,1448.836326599121,58,0,
flooder,4601,1776779343.3390982,53.189754486083984,1583.9641094207764,61,0,
flooder,5310,1776779366.1168888,100.45027732849121,1981.3060760498047,59,0,
flooder,7040,1776779419.774677,51.63884162902832,1620.6402778625488,64,0,
flooder,1868,1776779258.1456578,37.540435791015625,1719.2273139953613,63,0,
flooder,2272,1776779271.0462906,115.89527130126953,1865.0915622711182,62,0,
flooder,3437,1776779306.2493176,50.99129676818848,1426.7222881317139,64,0,
flooder,4476,1776779339.4081194,39.17670249938965,1553.6868572235107,64,0,
flooder,5322,1776779366.4234807,175.80604553222656,1875.342845916748,61,0,
flooder,7270,1776779426.866519,33.4017276763916,1818.2971477508545,64,0,
flooder,1358,1776779241.7334473,120.11098861694336,1662.8046035766602,59,0,
flooder,2096,1776779265.5532258,62.78872489929199,1847.867727279663,57,0,
flooder,3659,1776779314.156911,56.717872619628906,1744.246482849121,64,0,
flooder,5402,1776779369.0279136,50.63509941101074,2088.817596435547,59,0,
flooder,7047,1776779419.968337,37.6434326171875,1551.2824058532715,63,0,
flooder,1518,1776779246.949632,22.409439086914062,1640.3131484985352,61,0,
flooder,3297,1776779302.041997,52.902936935424805,1768.9306735992432,64,0,
flooder,4606,1776779343.6077588,97.50843048095703,1627.5036334991455,50,0,
flooder,5399,1776779368.9728894,54.95476722717285,2130.492687225342,63,0,
flooder,7229,1776779425.5997508,47.635793685913086,1790.0428771972656,63,0,
flooder,1420,1776779243.7262802,52.591800689697266,1710.7763290405273,62,0,
flooder,2158,1776779267.5820382,51.34224891662598,1735.4650497436523,62,0,
flooder,3311,1776779302.4519272,45.298099517822266,1833.4643840789795,62,0,
flooder,4481,1776779339.5038896,55.04631996154785,1486.3054752349854,63,0,
flooder,5513,1776779371.9545817,64.52608108520508,2123.0812072753906,61,0,
flooder,7273,1776779427.0722091,66.25151634216309,1919.5897579193115,46,0,
flooder,1740,1776779253.4820716,137.00532913208008,1663.7542247772217,63,0,
flooder,2104,1776779265.771227,74.06473159790039,1801.3496398925781,61,0,
flooder,3601,1776779311.7506402,58.55607986450195,1410.1238250732422,63,0,
flooder,4659,1776779345.4422457,41.45550727844238,1859.4067096710205,64,0,
flooder,5311,1776779366.1334705,53.2221794128418,1966.2044048309326,56,0,
flooder,1430,1776779244.048658,63.83490562438965,1702.211618423462,63,0,
flooder,2238,1776779270.1223493,71.2747573852539,1830.3868770599365,63,0,
flooder,3441,1776779306.4555278,63.78531455993652,1509.3090534210205,64,0,
flooder,4477,1776779339.4103303,38.103580474853516,1551.6669750213623,64,0,
flooder,5459,1776779370.4716108,55.834293365478516,2122.5061416625977,63,0,
flooder,7156,1776779423.6827986,59.35049057006836,2009.3820095062256,54,0,
flooder,2097,1776779265.5604877,35.735130310058594,1841.2895202636719,59,0,
flooder,3640,1776779313.1750987,54.57353591918945,1135.162353515625,64,0,
flooder,4561,1776779342.0287933,56.8852424621582,1626.1610984802246,64,0,
flooder,5313,1776779366.1782336,52.29973793029785,1969.0637588500977,60,0,
flooder,7195,1776779424.806881,49.76058006286621,1973.0143547058105,53,0,
flooder,1363,1776779241.8028138,46.830177307128906,1591.111183166504,63,0,
flooder,1365,1776779241.8517091,44.28291320800781,1614.8455142974854,62,0,
flooder,2231,1776779269.8585963,64.92757797241211,1807.894229888916,64,0,
flooder,3362,1776779303.8134959,48.35200309753418,1711.7741107940674,64,0,
flooder,4571,1776779342.4414248,59.43870544433594,1590.5401706695557,61,0,
flooder,5825,1776779381.9696436,55.31001091003418,1470.0064659118652,64,0,
flooder,7085,1776779421.3150325,38.11979293823242,1831.0909271240234,64,0,
flooder,1628,1776779250.5898015,47.50800132751465,2259.021043777466,63,0,
flooder,2100,1776779265.687331,50.60720443725586,1857.4879169464111,64,0,
flooder,3403,1776779305.036746,70.23787498474121,1742.9008483886719,62,0,
flooder,4773,1776779348.8725,37.90640830993652,1721.8985557556152,63,0,
flooder,5476,1776779370.918902,51.15938186645508,2049.6270656585693,64,0,
flooder,7166,1776779424.2255652,69.7627067565918,1976.2537479400635,50,0,
flooder,1401,1776779243.1562345,58.78114700317383,1688.9290809631348,62,0,
flooder,2161,1776779267.7454803,31.18896484375,1719.874620437622,61,0,
flooder,3420,1776779305.613089,56.658267974853516,1591.479778289795,64,0,
flooder,4699,1776779346.5130823,48.71201515197754,1753.129482269287,63,0,
flooder,5312,1776779366.138105,27.97722816467285,1958.8663578033447,61,0,
flooder,7286,1776779427.4919932,68.92156600952148,2191.391944885254,63,0,
flooder,1982,1776779261.8997712,54.99148368835449,1337.0585441589355,49,0,
flooder,2102,1776779265.7440355,101.22060775756836,1828.1452655792236,63,0,
flooder,3299,1776779302.064919,31.783103942871094,1748.9168643951416,61,0,
flooder,4598,1776779343.2983863,93.6880111694336,1624.5310306549072,58,0,
flooder,5460,1776779370.4768863,90.17658233642578,2117.5146102905273,63,0,
flooder,7139,1776779423.067567,25.745630264282227,1741.260290145874,64,0,
flooder,1370,1776779242.0810218,48.532962799072266,1620.908260345459,64,0,
