tenant,request_id,submit_time,ttft_ms,total_latency_ms,tokens_out,prompt_tokens,error
quiet_0,0,1776779197.9803019,123.3682632446289,1699.4030475616455,64,0,
quiet_0,59,1776779258.5341685,54.779767990112305,1657.91916847229,64,0,
quiet_0,178,1776779363.0430503,41.604042053222656,1587.9676342010498,64,0,
quiet_0,32,1776779231.6702409,52.57225036621094,1730.6506633758545,64,0,
quiet_0,166,1776779354.7656574,24.596691131591797,1612.576961517334,63,0,
quiet_0,30,1776779230.1074743,25.858163833618164,1750.81205368042,64,0,
quiet_0,202,1776779383.7709134,66.91217422485352,1874.2268085479736,64,0,
quiet_0,232,1776779407.6497815,48.26521873474121,2170.7091331481934,64,0,
quiet_0,177,1776779362.6409543,37.96267509460449,1538.1059646606445,64,0,
quiet_0,201,1776779383.1680973,31.829833984375,1807.023286819458,63,0,
quiet_0,285,1776779464.4733841,289.31117057800293,2024.1267681121826,61,0,
quiet_0,151,1776779344.377168,36.6978645324707,1580.9547901153564,64,0,
quiet_0,286,1776779465.2161026,55.29069900512695,1868.1409358978271,64,0,
quiet_0,230,1776779405.2136586,25.58112144470215,1694.1890716552734,64,0,
quiet_0,76,1776779269.6908708,42.97041893005371,1796.3836193084717,61,0,
quiet_0,82,1776779271.8529136,99.6103286743164,1825.7110118865967,61,0,
quiet_0,124,1776779325.519559,34.99269485473633,1787.1370315551758,64,0,
quiet_0,107,1776779310.3034017,28.30672264099121,1525.5250930786133,61,0,
quiet_0,130,1776779328.3667204,45.03607749938965,1724.1418361663818,64,0,
quiet_0,244,1776779423.7008488,45.92156410217285,1991.6234016418457,55,0,
quiet_0,297,1776779473.3183556,42.94586181640625,1505.0830841064453,59,0,
quiet_0,224,1776779400.4280179,25.33555030822754,1992.426872253418,62,0,
quiet_0,134,1776779329.393305,57.663679122924805,1806.5593242645264,62,0,
quiet_0,78,1776779270.5036733,53.29418182373047,1852.1027565002441,56,0,
quiet_0,209,1776779389.2054644,76.99179649353027,1641.937255859375,63,0,
quiet_0,146,1776779339.9269974,39.8707389831543,1569.162368774414,61,0,
quiet_0,176,1776779361.8584268,30.846595764160156,1269.1903114318848,62,0,
quiet_0,173,1776779359.655273,67.9163932800293,1520.4613208770752,59,0,
quiet_0,248,1776779425.976583,89.50257301330566,1842.18430519104,60,0,
quiet_0,127,1776779327.7601519,44.983863830566406,1732.4209213256836,63,0,
quiet_0,20,1776779217.7033324,47.20878601074219,1704.8766613006592,63,0,
quiet_0,181,1776779366.3239996,62.245845794677734,1889.0275955200195,62,0,
quiet_0,234,1776779407.8137908,47.69635200500488,2091.5205478668213,63,0,
quiet_0,70,1776779264.9537718,21.94809913635254,1904.5093059539795,63,0,
quiet_0,63,1776779260.3733475,68.35007667541504,1671.0124015808105,64,0,
quiet_0,80,1776779271.1593533,78.49502563476562,1807.6181411743164,60,0,
quiet_0,105,1776779306.5891817,49.204111099243164,1456.8729400634766,60,0,
quiet_0,193,1776779375.2743917,63.05694580078125,1893.7437534332275,62,0,
quiet_0,246,1776779425.4787192,117.88773536682129,1909.2333316802979,61,0,
quiet_0,34,1776779234.1831872,26.309490203857422,1923.276424407959,58,0,
quiet_0,188,1776779370.8596017,27.198076248168945,2065.5593872070312,64,0,
